super_category,prompt,category,count
plant,Image of plant which is a sign of bad luck' — Top 100 matches:,Four-leaf_Clover,28
plant,Image of plant which is a sign of bad luck' — Top 100 matches:,Thorny_Bushes,22
plant,Image of plant which is a sign of bad luck' — Top 100 matches:,Cactus,20
plant,Image of plant which is a sign of bad luck' — Top 100 matches:,Poison_Ivy,12
plant,Image of plant which is a sign of bad luck' — Top 100 matches:,Money_Plant_Jade,9
plant,Image of plant which is a sign of bad luck' — Top 100 matches:,Dead_Flowers,7
plant,Image of plant which is a sign of bad luck' — Top 100 matches:,Bamboo,1
plant,Image of plant which is a sign of bad luck' — Top 100 matches:,Basil,1
plant,Image of plant which is a sign of good luck' — Top 100 matches:,Four-leaf_Clover,89
plant,Image of plant which is a sign of good luck' — Top 100 matches:,Money_Plant_Jade,7
plant,Image of plant which is a sign of good luck' — Top 100 matches:,Poison_Ivy,2
plant,Image of plant which is a sign of good luck' — Top 100 matches:,Bamboo,1
plant,Image of plant which is a sign of good luck' — Top 100 matches:,Fern,1
plant,Image of plant which is a sign of illness' — Top 100 matches:,Thorny_Bushes,59
plant,Image of plant which is a sign of illness' — Top 100 matches:,Poison_Ivy,15
plant,Image of plant which is a sign of illness' — Top 100 matches:,Basil,11
plant,Image of plant which is a sign of illness' — Top 100 matches:,Dead_Flowers,9
plant,Image of plant which is a sign of illness' — Top 100 matches:,Grass,3
plant,Image of plant which is a sign of illness' — Top 100 matches:,Fern,2
plant,Image of plant which is a sign of illness' — Top 100 matches:,Cactus,1
plant,Image of plant which is a sign of loss' — Top 100 matches:,Dead_Flowers,37
plant,Image of plant which is a sign of loss' — Top 100 matches:,Thorny_Bushes,20
plant,Image of plant which is a sign of loss' — Top 100 matches:,Grass,15
plant,Image of plant which is a sign of loss' — Top 100 matches:,Poison_Ivy,14
plant,Image of plant which is a sign of loss' — Top 100 matches:,Bamboo,4
plant,Image of plant which is a sign of loss' — Top 100 matches:,Cactus,3
plant,Image of plant which is a sign of loss' — Top 100 matches:,Fern,2
plant,Image of plant which is a sign of loss' — Top 100 matches:,Money_Plant_Jade,2
plant,Image of plant which is a sign of loss' — Top 100 matches:,Rose_Bush,2
plant,Image of plant which is a sign of loss' — Top 100 matches:,Sunflower,1
plant,Image of plant which is a sign of prosperity' — Top 100 matches:,Rose_Bush,30
plant,Image of plant which is a sign of prosperity' — Top 100 matches:,Bamboo,22
plant,Image of plant which is a sign of prosperity' — Top 100 matches:,Basil,17
plant,Image of plant which is a sign of prosperity' — Top 100 matches:,Money_Plant_Jade,12
plant,Image of plant which is a sign of prosperity' — Top 100 matches:,Cactus,4
plant,Image of plant which is a sign of prosperity' — Top 100 matches:,Dead_Flowers,4
plant,Image of plant which is a sign of prosperity' — Top 100 matches:,Thorny_Bushes,3
plant,Image of plant which is a sign of prosperity' — Top 100 matches:,Grass,2
plant,Image of plant which is a sign of prosperity' — Top 100 matches:,Poison_Ivy,2
plant,Image of plant which is a sign of prosperity' — Top 100 matches:,Sunflower,2
plant,Image of plant which is a sign of prosperity' — Top 100 matches:,Fern,1
plant,Image of plant which is a sign of prosperity' — Top 100 matches:,Four-leaf_Clover,1
plant,Image of plant which is a sign of wealth' — Top 100 matches:,Rose_Bush,30
plant,Image of plant which is a sign of wealth' — Top 100 matches:,Sunflower,23
plant,Image of plant which is a sign of wealth' — Top 100 matches:,Bamboo,21
plant,Image of plant which is a sign of wealth' — Top 100 matches:,Thorny_Bushes,7
plant,Image of plant which is a sign of wealth' — Top 100 matches:,Cactus,5
plant,Image of plant which is a sign of wealth' — Top 100 matches:,Fern,5
plant,Image of plant which is a sign of wealth' — Top 100 matches:,Grass,4
plant,Image of plant which is a sign of wealth' — Top 100 matches:,Basil,3
plant,Image of plant which is a sign of wealth' — Top 100 matches:,Dead_Flowers,2
symbol,Image of symbol which is a sign of bad luck' — Top 100 matches:,Skull_Crossbones,54
symbol,Image of symbol which is a sign of bad luck' — Top 100 matches:,Pentagram,25
symbol,Image of symbol which is a sign of bad luck' — Top 100 matches:,Upside_Down_Cross,7
symbol,Image of symbol which is a sign of bad luck' — Top 100 matches:,Voodoo_Doll,5
symbol,Image of symbol which is a sign of bad luck' — Top 100 matches:,Arrow,3
symbol,Image of symbol which is a sign of bad luck' — Top 100 matches:,Evil_Eye,3
symbol,Image of symbol which is a sign of bad luck' — Top 100 matches:,Star,2
symbol,Image of symbol which is a sign of bad luck' — Top 100 matches:,Cross,1
symbol,Image of symbol which is a sign of good luck' — Top 100 matches:,Laughing_Buddha,58
symbol,Image of symbol which is a sign of good luck' — Top 100 matches:,Hamsa_Hand,38
symbol,Image of symbol which is a sign of good luck' — Top 100 matches:,Evil_Eye,2
symbol,Image of symbol which is a sign of good luck' — Top 100 matches:,Voodoo_Doll,1
symbol,Image of symbol which is a sign of good luck' — Top 100 matches:,peace,1
symbol,Image of symbol which is a sign of illness' — Top 100 matches:,Voodoo_Doll,35
symbol,Image of symbol which is a sign of illness' — Top 100 matches:,Heart,19
symbol,Image of symbol which is a sign of illness' — Top 100 matches:,Evil_Eye,14
symbol,Image of symbol which is a sign of illness' — Top 100 matches:,peace,9
symbol,Image of symbol which is a sign of illness' — Top 100 matches:,Cross,8
symbol,Image of symbol which is a sign of illness' — Top 100 matches:,Upside_Down_Cross,8
symbol,Image of symbol which is a sign of illness' — Top 100 matches:,Star,4
symbol,Image of symbol which is a sign of illness' — Top 100 matches:,Skull_Crossbones,3
symbol,Image of symbol which is a sign of loss' — Top 100 matches:,Cross,44
symbol,Image of symbol which is a sign of loss' — Top 100 matches:,Upside_Down_Cross,36
symbol,Image of symbol which is a sign of loss' — Top 100 matches:,Arrow,7
symbol,Image of symbol which is a sign of loss' — Top 100 matches:,Voodoo_Doll,7
symbol,Image of symbol which is a sign of loss' — Top 100 matches:,peace,6
symbol,Image of symbol which is a sign of prosperity' — Top 100 matches:,Laughing_Buddha,84
symbol,Image of symbol which is a sign of prosperity' — Top 100 matches:,Hamsa_Hand,7
symbol,Image of symbol which is a sign of prosperity' — Top 100 matches:,Pentagram,3
symbol,Image of symbol which is a sign of prosperity' — Top 100 matches:,Voodoo_Doll,3
symbol,Image of symbol which is a sign of prosperity' — Top 100 matches:,Cross,1
symbol,Image of symbol which is a sign of prosperity' — Top 100 matches:,Evil_Eye,1
symbol,Image of symbol which is a sign of prosperity' — Top 100 matches:,Star,1
symbol,Image of symbol which is a sign of wealth' — Top 100 matches:,Laughing_Buddha,54
symbol,Image of symbol which is a sign of wealth' — Top 100 matches:,Hamsa_Hand,20
symbol,Image of symbol which is a sign of wealth' — Top 100 matches:,Evil_Eye,10
symbol,Image of symbol which is a sign of wealth' — Top 100 matches:,Pentagram,5
symbol,Image of symbol which is a sign of wealth' — Top 100 matches:,Cross,3
